Model	wmh_var	cluster	pval	beta_coef	pval_fdr
1	WMHvol	c1	3.10E-71	0.172333091	9.99E-70
1	WMHvol	c2	7.95E-09	-0.052895444	2.14E-08
1	WMHvol	c3	1.91E-18	0.088086494	9.11E-18
1	stage	c1	1.31E-46	0.157598032	1.87E-45
1	stage	c2	1.39E-12	0.077649522	4.73E-12
1	stage	c3	3.41E-12	0.073905269	1.10E-11
1	FA	c1	4.31E-188	0.323782472	2.78E-186
1	FA	c2	2.48E-12	0.077697772	8.21E-12
1	FA	c3	1.44E-10	0.068477087	4.32E-10
1	MD	c1	1.08E-47	0.161241398	1.74E-46
1	MD	c2	2.68E-07	0.055950984	6.52E-07
1	MD	c3	3.38E-09	0.062731991	9.47E-09
1	ICVF	c1	1.95E-09	0.063914991	5.70E-09
1	ICVF	c2	1.17E-06	0.053693622	2.66E-06
1	ICVF	c3	2.75E-14	0.081089707	1.04E-13
1	ISOVF	c1	2.27E-33	0.133756515	1.63E-32
1	ISOVF	c2	2.64E-09	0.065665224	7.57E-09
1	ISOVF	c3	0.000331835	0.038730542	0.000638906
1	OD	c1	5.89E-09	-0.062005576	1.62E-08
1	OD	c2	0.00051405	-0.038341159	0.000947321
1	OD	c3	0.003953135	0.031708279	0.006537878
1	T2star	c1	0.005008869	0.030623368	0.007858598
1	T2star	c2	2.05E-07	0.057146624	5.08E-07
1	T2star	c3	9.73E-30	0.121872605	6.27E-29
1	QSM	c1	0.177596798	0.015026084	0.210183367
1	QSM	c2	0.010419423	0.028531589	0.016001256
1	QSM	c3	0.267916271	-0.012330297	0.305851318
2	WMHvol	c1			
2	WMHvol	c2			
2	WMHvol	c3			
2	stage	c1	1.46E-18	0.091355495	7.23E-18
2	stage	c2	2.45E-67	0.12527797	6.32E-66
2	stage	c3	0.691181434	-0.00241641	0.719051653
2	FA	c1	5.71E-150	0.283643482	2.45E-148
2	FA	c2	4.50E-35	0.113605323	3.41E-34
2	FA	c3	0.936272002	-0.000577089	0.943586627
2	MD	c1	1.51E-37	0.142327963	1.30E-36
2	MD	c2	9.20E-42	0.10148626	9.89E-41
2	MD	c3	0.042042797	-0.012648666	0.057089693
2	ICVF	c1	9.47E-22	-0.071908667	4.89E-21
2	ICVF	c2	3.42E-35	0.098152416	2.76E-34
2	ICVF	c3	0.396523774	0.005280586	0.440961783
2	ISOVF	c1	2.94E-66	0.185568684	6.33E-65
2	ISOVF	c2	4.28E-18	0.089044053	1.97E-17
2	ISOVF	c3	0.054791821	-0.016798151	0.07000014
2	OD	c1	1.51E-53	-0.147591029	2.79E-52
2	OD	c2	0.062718651	-0.019649701	0.07779525
2	OD	c3	0.446861137	-0.007649631	0.492693049
2	T2star	c1	3.67E-07	-0.050699935	8.77E-07
2	T2star	c2	6.51E-27	0.094981066	4.00E-26
2	T2star	c3	4.25E-13	0.054920131	1.52E-12
2	QSM	c1	0.999623249	5.27E-06	0.999623249
2	QSM	c2	0.000727918	0.037303271	0.001304186
2	QSM	c3	0.01869275	-0.025948365	0.027093986
